AGE	L. kindti	S. crystallina	D. longispina	E. coregoni	E. longispina	B. longirostris	O. gracilis	Eurycercinae	C. rectirostris	A. harpae	O. tenuicaudis	A. affinis	A. quadrangularis	A. guttata	A. rectangula	A. intermedia	A. costata	L. leydigi	L. acathocercoides	G. testudinaria	R. falcata	M. dispar	A. excisa	A. exigua	A. nana	D. rostrata	P. truncatus	P. trigonellus	P. uncinatus	P. laevis	C. sphaericus	P. pigra
2008	447.8840069	348.3542276	16173.58914	1791.536028	1240.294173	551.2418546	49.76488966	0	99.52977931	298.5893379	0	99.52977931	0	0	99.52977931	149.294669	0	0	0	0	0	99.52977931	199.0595586	0	0	0	0	199.0595586	0	0	497.6488966	0
2005	311.6668975	380.926208	8345.746921	1267.104763	475.1642863	4698.846831	0	0	69.25931055	173.1482764	0	138.5186211	138.5186211	69.25931055	207.7779316	103.8889658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	831.1117266	69.25931055
2001	262.947397	197.2105477	14889.39635	279.8257772	335.7909326	1455.094041	0	0	98.60527387	65.73684924	0	262.947397	0	65.73684924	0	98.60527387	0	0	0	65.73684924	0	0	32.86842462	0	0	0	0	65.73684924	0	0	657.3684924	0
1998	621.2960214	0	13499.0681	229.1533378	0	1775.938368	0	0	0	112.962913	28.24072825	338.888739	0	395.3701954	225.925826	254.1665542	56.48145649	56.48145649	56.48145649	0	0	84.72218474	28.24072825	0	28.24072825	56.48145649	0	0	0	0	960.1847604	0
1995	5493.823407	0	80257.59412	0	6900.454521	8625.568152	0	0	0	477.7237745	0	66.99899555	0	401.9939733	66.99899555	0	33.49949778	0	66.99899555	66.99899555	0	0	0	0	0	0	0	0	0	0	4957.925671	0
1991	4157.316859	0	25834.75476	2279.437937	10420.28771	15956.06556	0	0	0	296.9512042	0	44.18790596	0	176.7516239	0	44.18790596	0	0	0	0	0	0	0	0	0	0	0	44.18790596	463.9730126	0	441.8790596	0
1988	260.4840971	0	3842.140432	0	3078.238488	7015.520274	0	0	0	0	0	0	0	130.2420485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1172.178437	0
1983	957.9344211	547.3910978	1505.325519	0	329.2279791	33745.86786	0	0	0	0	0	0	0	547.3910978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15600.64629	0
1980	726.8369074	0	484.5579382	1778.098872	592.699624	66678.7077	0	0	0	0	0	0	0	484.5579382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49909.46764	0
1978	0	532.6718173	532.6718173	296.8201391	593.6402783	48381.68268	0	0	0	0	0	0	0	0	0	0	0	0	532.6718173	0	0	0	0	0	0	0	0	0	0	0	46875.11992	0
1975	426.2697911	319.7023434	2451.051299	925.0961425	0	28061.24965	106.5674478	0	213.1348956	0	0	213.1348956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31970.23434	0
1972	999.4599655	1624.122444	1998.919931	3010.668339	573.4606359	22651.69512	0	0	0	0	0	0	0	499.7299827	124.9324957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19614.40182	0
1970	365.630486	121.8768287	1706.275601	5119.543726	2213.856746	39711.05539	0	0	0	243.7536573	0	243.7536573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19134.6621	0
1968	189.7718904	379.5437808	379.5437808	3811.557428	3138.929646	51119.71138	0	0	0	759.0875616	0	759.0875616	0	0	0	0	0	0	379.5437808	0	0	189.7718904	0	0	0	0	0	0	0	0	26757.83654	0
1966	0	403.7404514	2220.572483	9480.559872	1849.865341	39540.87166	0	0	201.8702257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201.8702257	0	0	20388.89279	0
1964	0	0	244.7959158	7397.777492	7397.777492	15069.54674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17135.7141	0
1961	242.4699137	121.2349569	1091.114612	14356.23947	8496.549893	22852.78937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852.41258	0
1959	220.3225081	0	881.2900325	12793.28564	6275.951445	46586.87034	0	0	0	0	0	0	0	0	440.6450163	0	0	0	440.6450163	0	0	0	0	0	0	0	0	0	0	0	66096.75244	0
1957	99.35574948	99.35574948	0	1537.915052	1757.617202	12303.32041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24242.80287	0
1955	118.8542695	237.708539	475.417078	3130.468099	272.2146173	13474.62355	0	0	0	0	0	237.708539	0	0	118.8542695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26385.64783	0
1953	0	0	422.7858136	7412.007398	926.5009247	61843.93673	0	0	0	0	0	422.7858136	0	0	422.7858136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18813.9687	0
1950	185.5604619	0	2597.846467	11620.72393	5164.76619	14203.10702	0	0	0	371.1209239	0	0	0	0	0	0	0	0	185.5604619	371.1209239	0	0	0	0	0	0	0	185.5604619	0	0	43050.02717	0
1948	193.9526355	96.97631773	1551.621084	5896.567012	2509.177452	9534.874317	0	0	193.9526355	0	0	0	193.9526355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193.9526355	0	0	23565.24521	0
1946	82.61791546	110.1572206	4929.535623	425.9986266	1088.663157	3029.323567	0	0	55.07861031	82.61791546	110.1572206	110.1572206	0	110.1572206	0	0	0	0	55.07861031	110.1572206	0	0	165.2358309	0	0	0	0	55.07861031	0	55.07861031	2616.23399	0
